"Season","Team","G","PA","AB","HR","R","SB","CS","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","H","2B","3B","HR","BB","HBP","wRC","WPA"
"1894","Orioles","1212","5413","4799","33","1171","324","",".353",".343",".418",".483",".417","114","35.2","1647","271","150","33","516","98","1205",""
"1894","Phillies","1239","5520","4967","40","1143","273","",".361",".349",".414",".476",".413","114","29.4","1732","252","131","40","496","57","1205",""
"1894","Beaneaters","1259","5593","5011","103","1220","241","",".335",".331",".401",".484",".406","105","23.7","1658","272","94","103","535","47","1179",""
"1927","Yankees","1725","6222","5354","158","976","90","64",".324",".307",".384",".488",".400","126","49.3","1644","291","103","158","642","22","1031",""
"1895","Phillies","1289","5689","5037","61","1068","276","",".340",".330",".394",".450",".397","117","31.3","1664","272","73","61","463","69","1124",""
"1936","Yankees","1650","6391","5591","182","1065","77","40",".310",".300",".381",".483",".394","113","40.4","1676","315","83","182","700","33","1071",""
"1896","Orioles","1232","5323","4719","23","995","441","",".339",".328",".393",".429",".392","117","35.0","1548","207","100","23","386","120","991",""
"1930","Yankees","1796","6272","5447","152","1062","91","60",".324",".309",".384",".488",".388","124","38.6","1683","298","110","152","644","19","1064",""
"1950","Red Sox","1719","6322","5516","161","1027","32","17",".315",".302",".385",".464",".388","109","32.7","1665","287","61","161","719","25","1002",""
"1897","Orioles","1297","5496","4872","19","964","401","","",".325",".394",".414",".388","114","36.0","1584","243","66","19","437","115","990",""
"1931","Yankees","1751","6473","5608","155","1067","139","68",".309",".297",".383",".457",".387","124","45.0","1667","276","78","155","750","28","1043",""
"1895","Orioles","1241","5311","4725","25","1009","310","",".338",".324",".384",".427",".384","109","31.7","1530","235","89","25","355","106","990",""
"1921","Yankees","1604","6056","5250","134","948","89","64",".317",".300",".374",".464",".384","111","36.4","1576","284","87","134","575","41","929",""
"1930","Cubs","1769","6354","5581","171","998","70","",".325",".309",".378",".481",".383","107","30.2","1722","305","72","171","588","37","1049",""
"1929","Phillies","1834","6216","5484","153","897","59","",".317",".309",".377",".467",".383","100","19.7","1693","305","51","153","573","24","981",""
"1897","Beaneaters","1285","5521","4937","45","1025","233","","",".319",".378",".426",".381","108","30.1","1574","230","83","45","423","47","960",""
"1894","Colts","1248","5492","4960","65","1041","327","",".324",".314",".380",".441",".381","94","11.2","1555","265","86","65","496","36","1022",""
"1894","Pirates","1243","5178","4676","48","955","256","",".319",".312",".379",".443",".381","100","19.3","1458","222","124","48","434","68","962",""
"1939","Yankees","1550","6129","5300","166","967","72","37",".295",".287",".374",".451",".380","113","44.7","1521","259","55","166","701","36","935",""
