"Season","Team","IP","BABIP","ERA","FIP","WAR","TBF","R","ER","H","HR","BB","HBP","SO","WPA","AVG","FIP-","RA9-WAR"
"1876","Brown Stockings","577.0",".235","1.22","2.15","3.4","","229","78","472","3","39","","103","",".225","102","15.7"
"1884","Grays","1036.1",".259","1.61","2.86","13.3","","388","185","825","26","172","0","639","",".220","85","34.4"
"1875","Dark Blues","771.0",".245","1.62","2.46","9.6","","343","139","706","4","16","","16","",".245","95","25.0"
"1880","Grays","799.0",".250","1.64","2.12","8.2","","299","146","663","7","51","","286","",".227","92","18.5"
"1882","Red Stockings","721.1",".244","1.65","2.95","6.0","","268","132","609","7","125","","165","",".230","105","22.8"
"1876","Dark Blues","624.0",".257","1.67","2.04","8.9","","261","116","570","2","27","","114","",".245","85","19.5"
"1876","Grays","643.0",".263","1.69","2.08","10.4","","344","121","605","3","38","","125","",".250","82","14.7"
"1875","Red Stockings","732.0",".270","1.70","2.41","7.4","","343","138","750","2","29","","43","",".267","97","20.0"
"1885","Giants","994.0",".246","1.72","2.79","11.8","","370","190","758","11","265","0","516","",".213","93","29.0"
"1907","Cubs","1373.1",".241","1.73","2.31","17.8","","390","264","1054","11","402","38","586","",".214","90","32.1"
"1909","Cubs","1409.1",".248","1.74","2.08","22.4","","389","272","1094","6","364","45","680","",".216","83","36.4"
"1906","Cubs","1388.1",".238","1.75","2.43","17.6","","381","270","1018","12","446","53","702","",".206","92","37.1"
"1876","White Stockings","592.1",".271","1.76","2.34","6.6","","257","116","608","6","29","","51","",".267","97","17.4"
"1910","Athletics","1421.2",".254","1.79","2.23","16.4","","441","282","1103","8","450","55","789","",".216","94","29.4"
"1878","Reds","548.0",".291","1.84","2.13","5.2","","281","112","546","2","63","","220","",".261","97","6.7"
"1880","Blues","759.2",".269","1.90","2.23","7.0","","337","160","685","4","98","","289","",".242","97","11.8"
"1880","White Stockings","775.0",".252","1.93","2.22","9.7","","317","166","622","8","129","","367","",".222","91","17.3"
"1909","Athletics","1378.0",".251","1.93","2.08","15.1","","409","296","1069","9","386","62","728","",".216","96","27.2"
"1884","Maroons","993.0",".269","1.95","2.61","8.5","","429","215","838","9","110","","550","",".230","102","27.8"
"1888","Giants","1208.0",".247","1.96","2.51","14.8","","476","263","907","27","307","37","726","",".210","88","25.0"
"1905","White Sox","1427.0",".252","1.99","2.45","14.0","","450","315","1163","11","329","35","613","",".224","98","27.7"
"1872","Red Stockings","430.1",".270","1.99","3.57","4.3","","236","95","438","0","27","","28","",".265","94","16.8"
"1908","Naps","1424.1",".250","2.02","2.17","13.5","","466","319","1172","16","328","32","548","",".226","101","23.7"
"1882","Eclipse","693.1",".269","2.03","2.69","6.8","","352","156","637","7","112","","240","",".246","97","11.1"
"1910","White Sox","1421.0",".257","2.03","2.17","18.1","","495","320","1130","16","381","38","785","",".220","90","21.1"
"1905","Cubs","1407.1",".251","2.04","2.58","17.2","","442","319","1135","14","385","51","627","",".222","93","37.5"
"1909","White Sox","1430.1",".259","2.05","2.07","15.1","","461","326","1182","8","340","52","669","",".227","96","22.0"
