Season,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
2002,"ANA",1452.1,6097,3.68717007,1345,248,19,644,595,169,509,24,49,999,0.24665322,0.31350906,0.39207776,0.3095338538096829
2002,"BAL",1450.2,6258,4.46070772,1491,265,26,773,719,208,549,34,54,967,0.26644031,0.33573834,0.43459614,0.33556672280668426
2002,"BOS",1446,6049,3.75311203,1339,277,24,665,603,146,430,29,84,1157,0.24555291,0.30785845,0.38547588,0.3039487201104777
2002,"CHW",1423,6131,4.57273366,1422,287,16,798,723,190,528,31,60,945,0.26048727,0.33004926,0.42333761,0.3288441127156007
2002,"CLE",1424.2,6271,4.90851661,1508,311,41,837,777,142,603,38,57,1058,0.27388304,0.3478819,0.42262986,0.3368851021774207
2002,"DET",1414,6215,4.93917963,1593,345,58,864,776,163,463,34,62,794,0.28482031,0.34321828,0.45467549,0.34514463952101654
2002,"KCR",1441,6386,5.20888272,1587,328,33,891,834,212,572,48,52,909,0.28108395,0.34879319,0.46351399,0.3503828386190945
2002,"MIN",1444.2,6133,4.12413475,1454,280,32,712,662,184,439,24,45,1026,0.26066691,0.31754875,0.42129796,0.3214273688373136
2002,"NYY",1452,6159,3.88636364,1441,301,26,697,627,144,403,44,48,1135,0.25599574,0.30909982,0.39545212,0.30663982143091373
2002,"OAK",1452,6158,3.68801653,1391,269,28,654,595,135,474,45,62,1021,0.25153707,0.31548788,0.3835443,0.30645533664262314
2002,"SEA",1445.1,6117,4.07241697,1422,283,15,699,654,178,441,34,49,1063,0.2566787,0.31457716,0.40956679,0.31523805555920187
2002,"TBD",1440.1,6424,5.29252488,1567,337,25,918,847,215,620,24,94,925,0.27892488,0.35701988,0.46262015,0.35650052520485254
2002,"TEX",1439.2,6446,5.1636953,1528,344,41,882,826,194,669,32,76,1030,0.2717894,0.35476822,0.45108502,0.3513521919063493
2002,"TOR",1438.1,6338,4.80556199,1504,312,29,828,768,177,590,56,71,991,0.26938922,0.34386912,0.43077199,0.33704136270934193
2002,"ARI",1446.2,6067,3.92557604,1361,252,32,674,631,170,421,30,54,1303,0.24696062,0.3048821,0.39684268,0.30619602478314467
2002,"ATL",1467.1,6131,3.13425716,1302,240,32,565,511,123,554,63,42,1058,0.23982317,0.31335645,0.36378707,0.29801555758999076
2002,"CHC",1441.1,6236,4.30226642,1373,274,30,759,689,167,606,53,58,1333,0.25290109,0.33121951,0.40670473,0.322405938772133
2002,"CIN",1453.2,6296,4.29052969,1502,301,28,774,693,173,550,63,56,980,0.26898281,0.3381999,0.4258596,0.3319328242414774
