"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1894","Orioles","1212","4799","5413","33","1171","976","324","9.5%","3.7%",".140",".353",".343",".418",".483",".901",".417","114","","6.9","156.3","70.1","35.2","1647","1193","271","150","33","516","","200","98","","","","324","",".417"
"1894","Phillies","1239","4967","5520","40","1143","981","273","9.0%","4.4%",".128",".361",".349",".414",".476",".890",".413","114","","-5.1","144.4","17.9","29.4","1732","1309","252","131","40","496","","245","57","","","","273","",".413"
"1894","Beaneaters","1259","5011","5593","103","1220","1043","241","9.6%","4.7%",".153",".335",".331",".401",".484",".885",".406","105","","-8.6","50.3","16.7","23.7","1658","1189","272","94","103","535","","261","47","","","","241","",".406"
"1927","Yankees","1725","5354","6222","158","976","908","90","10.3%","9.8%",".181",".324",".307",".384",".488",".872",".400","126","","-14.2","203.7","76.2","49.3","1644","1092","291","103","158","642","","610","22","","204","","90","64",".400"
"1895","Phillies","1289","5037","5689","61","1068","930","276","8.1%","4.6%",".119",".340",".330",".394",".450",".844",".397","117","","-0.2","162.5","4.7","31.3","1664","1258","272","73","61","463","","262","69","","120","","276","",".397"
"1936","Yankees","1650","5591","6391","182","1065","997","77","11.0%","9.3%",".184",".310",".300",".381",".483",".864",".394","113","","-6.2","124.6","68.7","40.4","1676","1096","315","83","182","700","","593","33","","67","","77","40",".394"
"1896","Orioles","1232","4719","5323","23","995","854","441","7.3%","3.8%",".101",".339",".328",".393",".429",".822",".392","117","","29.8","173.8","30.9","35.0","1548","1218","207","100","23","386","","201","120","","98","","441","",".392"
"1930","Yankees","1796","5447","6272","152","1062","986","91","10.3%","9.1%",".179",".324",".309",".384",".488",".872",".388","124","","-11.9","204.3","-1.1","38.6","1683","1123","298","110","152","644","","569","19","","162","","91","60",".388"
"1950","Red Sox","1719","5516","6322","161","1027","974","32","11.4%","9.2%",".162",".315",".302",".385",".464",".848",".388","109","","-3.1","78.9","32.4","32.7","1665","1156","287","61","161","719","","580","25","","62","153","32","17",".388"
"1897","Orioles","1297","4872","5496","19","964","821","401","8.0%","",".089","",".325",".394",".414",".808",".388","114","","27.0","147.7","56.6","36.0","1584","1256","243","66","19","437","","","115","","72","","401","",".388"
"1931","Yankees","1751","5608","6473","155","1067","990","139","11.6%","8.6%",".160",".309",".297",".383",".457",".840",".387","124","","-3.4","206.4","18.8","45.0","1667","1158","276","78","155","750","","554","28","","87","","139","68",".387"
"1895","Orioles","1241","4725","5311","25","1009","828","310","6.7%","4.6%",".103",".338",".324",".384",".427",".811",".384","109","","11.1","89.7","76.8","31.7","1530","1181","235","89","25","355","","243","106","","125","","310","",".384"
"1921","Yankees","1604","5250","6056","134","948","863","89","9.5%","9.4%",".164",".317",".300",".374",".464",".838",".384","111","","7.9","103.8","61.9","36.4","1576","1071","284","87","134","575","","571","41","","190","","89","64",".384"
"1930","Cubs","1769","5581","6354","171","998","941","70","9.3%","10.0%",".172",".325",".309",".378",".481",".859",".383","107","","13.5","78.3","37.3","30.2","1722","1174","305","72","171","588","","635","37","","148","","70","",".383"
"1929","Phillies","1834","5484","6216","153","897","841","59","9.2%","7.6%",".158",".317",".309",".377",".467",".843",".383","100","","9.2","10.0","-7.3","19.7","1693","1184","305","51","153","573","","470","24","","135","","59","",".383"
"1897","Beaneaters","1285","4937","5521","45","1025","885","233","7.7%","",".108","",".319",".378",".426",".804",".381","108","","-3.0","64.2","64.9","30.1","1574","1216","230","83","45","423","","","47","","114","","233","",".381"
"1894","Colts","1248","4960","5492","65","1041","895","327","9.0%","5.4%",".127",".324",".314",".380",".441",".821",".381","94","","11.8","-55.5","-30.6","11.2","1555","1139","265","86","65","496","","298","36","","","","327","",".381"
"1894","Pirates","1243","4676","5178","48","955","803","256","8.4%","4.0%",".131",".319",".312",".379",".443",".822",".381","100","","1.0","2.9","25.1","19.3","1458","1064","222","124","48","434","","208","68","","","","256","",".381"
"1939","Yankees","1550","5300","6129","166","967","904","72","11.4%","8.9%",".164",".295",".287",".374",".451",".825",".380","113","","-4.6","104.6","129.7","44.7","1521","1041","259","55","166","701","","543","36","","92","99","72","37",".380"
"1894","Grooms","1257","4816","5316","42","1021","866","282","8.8%","5.5%",".127",".327",".313",".378",".440",".818",".379","102","","4.9","24.4","15.3","20.3","1507","1107","228","130","42","466","","294","34","","","","282","",".379"
"1921","Tigers","1705","5456","6293","58","887","793","95","9.2%","5.9%",".118",".331",".316",".385",".433",".818",".379","110","","0.6","86.9","-31.3","26.2","1723","1296","270","99","58","581","","373","29","","227","","95","89",".379"
"1893","Pirates","1238","4834","5433","37","970","816","210","9.9%","5.0%",".112",".312",".299",".377",".411",".788",".379","110","","-7.4","80.5","56.5","29.5","1447","1107","176","127","37","537","","274","62","","","","210","",".379"
"1893","Phillies","1255","5151","5690","80","1011","865","202","8.2%","5.9%",".129",".311",".301",".368",".431",".798",".379","108","","-8.2","69.4","33.4","27.3","1553","1137","246","90","80","468","","335","71","","","","202","",".379"
"1953","Dodgers","1893","5373","6138","208","955","887","90","10.7%","11.2%",".189",".295",".285",".366",".474",".840",".379","115","","3.9","127.0","80.8","40.4","1529","988","274","59","208","655","","686","35","","75","115","90","47",".379"
"1921","Indians","1758","5376","6264","42","925","847","51","9.9%","6.0%",".123",".326",".308",".383",".432",".815",".378","107","","11.4","68.7","10.8","28.6","1657","1169","355","91","42","619","","373","37","","232","","51","42",".378"
"1922","Browns","1619","5425","6130","98","868","785","136","7.7%","6.2%",".143",".321",".310",".369",".453",".822",".378","107","","8.7","68.3","72.2","33.0","1684","1200","292","94","98","471","","380","35","","199","","136","75",".378"
"1949","Red Sox","1630","5320","6250","131","896","835","43","13.4%","8.2%",".139",".293",".282",".381",".420",".802",".378","106","","-3.4","41.5","61.9","31.5","1500","1061","272","36","131","835","","510","17","","78","169","43","25",".378"
"1937","Yankees","1633","5487","6294","174","979","922","60","11.3%","9.6%",".173",".293",".283",".369",".456",".825",".378","110","","-7.7","86.0","63.6","36.6","1554","1025","282","73","174","712","","607","34","","61","","60","36",".378"
"1894","Senators","1247","4581","5269","59","882","762","249","11.7%","7.1%",".138",".303",".287",".381",".425",".806",".378","95","","-1.8","-50.9","-57.8","8.2","1317","922","218","118","59","617","","375","71","","","","249","",".378"
"1932","Yankees","1712","5476","6344","160","1002","954","77","12.1%","8.3%",".169",".293",".286",".376",".454",".830",".377","119","","-14.9","150.7","20.0","38.5","1564","1043","279","82","160","765","","526","27","","76","","77","66",".377"
"1890","Reds","1222","4626","5321","54","992","772","412","12.3%","8.2%",".116",".303",".282",".376",".398",".774",".377","106","","18.9","77.4","-11.6","26.6","1306","953","223","76","54","652","","435","43","","","","412","",".377"
"1926","Yankees","1735","5210","6092","121","847","791","79","10.5%","9.5%",".149",".307",".289",".370",".438",".808",".377","112","","-13.4","86.8","15.9","32.3","1507","1049","262","75","121","642","","580","23","","217","","79","62",".377"
"1923","Indians","1736","5277","6150","59","886","806","79","10.2%","6.2%",".119",".317",".301",".381",".421",".801",".377","110","","-2.3","81.1","15.6","29.1","1591","1156","301","75","59","626","","381","49","","198","","79","79",".377"
"1929","Cubs","1712","5471","6252","139","982","933","103","9.4%","9.1%",".150",".318",".303",".373",".452",".825",".377","105","","18.0","62.4","74.9","32.8","1655","1160","310","46","139","589","","567","29","","163","","103","",".377"
