"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","TBF","H","R","ER","HR","BB","IBB","HBP","SO","Pitches","Pitches","AVG","WHIP","RA9-WAR"
"1876","Brown Stockings","45","19","0","65","64","577.0","1.61","0.61","0.05",".235","55.6%","","","","1.22","2.15","","3.4","","472","229","78","3","39","","","103","","",".225","0.89","15.7"
"1884","Grays","84","28","2","122","114","1036.1","5.55","1.49","0.23",".259","63.4%","","","","1.61","2.86","","13.3","","825","388","185","26","172","","0","639","","",".220","0.96","34.4"
"1875","Dark Blues","54","28","0","89","86","771.0","0.19","0.19","0.05",".245","52.9%","","","","1.62","2.46","","9.6","","706","343","139","4","16","","","16","","",".245","0.94","25.0"
"1880","Grays","52","32","2","99","87","799.0","3.22","0.57","0.08",".250","58.9%","","","","1.64","2.12","","8.2","","663","299","146","7","51","","","286","","",".227","0.89","18.5"
"1882","Red Stockings","55","25","0","83","80","721.1","2.06","1.56","0.09",".244","64.3%","","","","1.65","2.95","","6.0","","609","268","132","7","125","","","165","","",".230","1.02","22.8"
"1876","Dark Blues","47","21","0","69","69","624.0","1.64","0.39","0.03",".257","56.5%","","","","1.67","2.04","","8.9","","570","261","116","2","27","","","114","","",".245","0.96","19.5"
"1876","Grays","30","36","0","71","69","643.0","1.75","0.53","0.04",".263","46.8%","","","","1.69","2.08","","10.4","","605","344","121","3","38","","","125","","",".250","1.00","14.7"
"1875","Red Stockings","71","8","17","106","82","732.0","0.53","0.36","0.02",".270","56.2%","","","","1.70","2.41","","7.4","","750","343","138","2","29","","","43","","",".267","1.06","20.0"
"1885","Giants","85","27","1","115","112","994.0","4.67","2.40","0.10",".246","64.8%","","","","1.72","2.79","","11.8","","758","370","190","11","265","","0","516","","",".213","1.03","29.0"
"1907","Cubs","107","44","8","200","155","1373.1","3.84","2.63","0.07",".241","74.7%","","","","1.73","2.31","","17.8","","1054","390","264","11","402","","38","586","","",".214","1.06","32.1"
"1909","Cubs","104","49","11","212","155","1409.1","4.34","2.32","0.04",".248","74.5%","","","","1.74","2.08","","22.4","","1094","389","272","6","364","","45","680","","",".216","1.03","36.4"
"1906","Cubs","115","36","10","187","154","1388.1","4.55","2.89","0.08",".238","75.7%","","","","1.75","2.43","","17.6","","1018","381","270","12","446","","53","702","","",".206","1.05","37.1"
