"","League","Team","Yr","G","W","L","D","G_h1","PA_h1","AB_h1","R_h1","H_h1","X2B_h1","X3B_h1","HR_h1","SB_h1","CS_h1","BBHBP_h1","AVG_h1","OBP_h1","SLG_h1","wOBA_h1","WPA_h1","BABIP_h1","wRC_h1","IP_p1","R_p1","ER_p1","H_p1","X2B_p1","X3B_p1","HR_p1","BBHBP_p1","SO_p1","ERA_p1","FIP_p1","WPA_p1","BABIP_p1","AVG_p1","OBP_p1","SLG_p1","bwRCplus_h","bWAR_h","bFIPplus_p","bWAR_p"
"1","NPB","Dai Toky",1936,28,5,21,2,28,1055,906,90,186,21,11,0,40,NA,139,0.205,0.311,0.253,NA,NA,NA,NA,244.2,190,118,234,NA,NA,1,205,112,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NPB","Hankyu",1936,30,17,12,1,30,1194,1024,135,236,32,10,5,46,NA,142,0.23,0.324,0.296,NA,NA,NA,NA,270.1,80,57,183,NA,NA,1,117,119,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NPB","Nagoya",1936,26,12,14,0,26,1062,940,96,183,21,11,2,30,NA,101,0.195,0.273,0.247,NA,NA,NA,NA,225,133,90,204,NA,NA,2,169,74,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","NPB","Nagoya G",1936,28,9,19,0,28,1087,921,114,194,24,6,3,49,NA,143,0.211,0.317,0.26,NA,NA,NA,NA,240,151,96,193,NA,NA,4,182,189,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NPB","Osaka Ti",1936,31,24,6,1,31,1230,1034,178,256,44,9,5,56,NA,186,0.248,0.362,0.322,NA,NA,NA,NA,277,75,55,187,NA,NA,2,112,132,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NPB","Tokyo Ky",1936,27,18,9,0,27,1029,881,107,185,37,13,1,50,NA,126,0.21,0.309,0.285,NA,NA,NA,NA,244,64,38,154,NA,NA,1,129,182,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","NPB","Tokyo Se",1936,28,12,16,0,28,1101,903,111,167,30,10,2,52,NA,185,0.185,0.324,0.247,NA,NA,NA,NA,246.2,138,96,252,NA,NA,7,107,82,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NPB","Dai Toky",1937,56,21,31,4,56,2117,1885,202,414,62,25,8,92,NA,218,0.22,0.301,0.292,NA,NA,NA,NA,499.1,289,167,456,NA,NA,4,367,203,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NPB","Eagles",1937,56,12,44,0,56,2167,1866,188,403,62,21,5,46,NA,266,0.216,0.314,0.28,NA,NA,NA,NA,487,341,214,497,NA,NA,12,317,193,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NPB","Hankyu",1937,56,28,26,2,56,2265,1880,262,419,62,15,7,76,NA,328,0.223,0.338,0.283,NA,NA,NA,NA,505.2,218,158,411,NA,NA,9,286,207,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
