,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
2020,Indians,35,25,20,241,60,536,10.43,2.64,1.14,0.285,78.50%,40.50%,13.40%,87.6,3.29,3.55,3.73,11.2
,Twins,36,24,17,262,60,513.1,9.38,2.98,1.09,0.288,76.80%,40.80%,12.10%,87.8,3.58,3.79,4.15,9.9
,Reds,31,29,9,228,60,504,10.98,3.8,1.2,0.278,72.80%,43.20%,14.60%,87.4,3.89,3.92,3.95,9.5
,Brewers,29,31,14,249,60,517.1,10.68,3.29,1.17,0.296,70.50%,46.60%,15.20%,86.8,4.18,3.8,3.76,9.2
,Dodgers,43,17,15,309,60,538.2,8.64,2.42,1.1,0.252,75.80%,46.30%,13.20%,87.7,3.02,3.79,3.99,8.3
,Padres,37,23,13,278,60,520.1,9.77,2.94,1.21,0.29,74.00%,42.50%,14.10%,88.5,3.87,3.88,3.97,8.1
,Athletics,36,24,17,241,60,515.1,8.84,2.88,1.21,0.285,75.60%,41.20%,12.30%,88.8,3.77,4.02,4.38,7.7
,Rays,40,20,23,279,60,527.2,9.42,2.87,1.19,0.291,77.20%,45.10%,14.90%,87.5,3.56,3.94,3.94,7.3
,Cubs,34,26,16,248,60,518.1,9.08,3.16,1.28,0.278,75.00%,45.00%,16.00%,88.4,3.99,4.18,4.04,6.8
,Astros,29,31,16,253,60,524,9.03,3.73,1.2,0.288,71.50%,44.20%,14.00%,88.3,4.31,4.33,4.43,6.1
,White Sox,35,25,13,284,60,527,8.93,3.71,1.21,0.269,75.10%,44.20%,14.50%,88.1,3.81,4.32,4.36,6
,Orioles,25,35,11,267,60,518.2,8.45,3.33,1.37,0.282,69.70%,42.60%,14.60%,89.5,4.51,4.6,4.63,6
,Phillies,28,32,11,249,60,497,9.63,3.35,1.45,0.343,69.40%,46.60%,18.60%,88.1,5.2,4.43,4,6
,Yankees,33,27,14,234,60,500.2,9.49,3.02,1.49,0.28,71.10%,42.90%,16.00%,88.2,4.35,4.39,4.24,5.9
,Mets,26,34,11,257,60,513.1,10.06,3.84,1.42,0.316,69.90%,41.70%,15.80%,87.9,5.01,4.46,4.33,5.1
,Angels,26,34,12,288,60,525.1,8.96,3.41,1.4,0.287,65.50%,39.40%,14.00%,88.7,5.09,4.49,4.6,4.5
,Blue Jays,32,28,17,286,60,524.2,8.9,4.29,1.39,0.302,70.30%,43.10%,14.90%,88.4,4.63,4.73,4.72,4.5
,Braves,35,25,13,288,60,524.1,8.69,3.78,1.18,0.294,70.60%,43.70%,13.20%,87.7,4.46,4.42,4.63,4.1
,Royals,26,34,19,292,60,517,9,3.67,1.32,0.303,73.90%,44.40%,15.00%,89.2,4.3,4.5,4.47,3.9
,Rangers,22,38,10,264,60,516.2,8.52,4.11,1.41,0.277,68.60%,40.60%,14.00%,88.5,5.02,4.88,5,3.8
,Cardinals,30,28,13,234,58,473,8.83,3.88,1.31,0.25,74.00%,44.40%,15.40%,88.6,3.92,4.58,4.52,3.8
,Rockies,26,34,16,249,60,526.1,6.72,3.51,1.42,0.307,66.50%,44.50%,15.00%,89.4,5.59,5.14,5.13,3.5
,Giants,29,31,13,296,60,517.2,8.48,3.65,1.2,0.281,67.80%,38.80%,12.10%,88,4.64,4.45,4.84,3.5
,Mariners,27,33,15,249,60,516.2,8.17,4.01,1.38,0.281,69.90%,40.30%,13.50%,89.2,5.03,4.91,5.11,3.4
,Nationals,26,34,12,262,60,503.2,9.08,3.86,1.68,0.317,74.10%,37.90%,16.30%,89.4,5.09,5.02,4.8,3
