,Yr,Team,RA/G,W,L,WP,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
0,2020,Fukuoka ,3.33,64,39,.621,3.00,3.37,108,108,105,3,12,29,960.1,771,360,320,77,420,7,933,52,1,21,4028,1.240,7.2,0.7,3.9,8.7,2.22
0,2020,Chiba Lo,4.12,55,49,.529,3.93,4.22,106,106,103,3,6,32,932.1,894,437,407,101,342,12,738,25,2,29,3957,1.326,8.6,1.0,3.3,7.1,2.16
0,2020,Orix Buf,4.17,40,60,.400,4.00,4.27,107,107,105,2,9,17,939.1,850,446,417,105,404,11,831,33,0,21,4005,1.335,8.1,1.0,3.9,8.0,2.06
0,2020,Tohoku R,4.36,50,51,.495,4.21,4.45,107,107,105,2,8,26,941.2,898,466,440,98,359,15,764,45,1,36,4051,1.335,8.6,0.9,3.4,7.3,2.13
0,2020,Hokkaido,4.42,46,56,.451,4.03,4.52,107,107,103,4,4,22,941.1,893,473,421,87,389,18,836,40,0,30,4077,1.362,8.5,0.8,3.7,8.0,2.15
0,2020,Saitama ,4.47,51,51,.500,4.26,4.60,105,105,104,1,7,30,917.0,884,469,434,95,409,5,668,50,1,32,4009,1.410,8.7,0.9,4.0,6.6,1.63
0,2019,Fukuoka ,3.94,76,62,.551,3.63,3.97,143,143,140,3,13,49,1278.0,1114,564,515,137,550,11,1160,67,6,35,5446,1.302,7.8,1.0,3.9,8.2,2.11
0,2019,Tohoku R,4.04,71,68,.511,3.74,4.05,143,143,140,3,6,38,1284.1,1150,578,533,142,459,18,1084,49,3,29,5410,1.253,8.1,1.0,3.2,7.6,2.36
0,2019,Hokkaido,4.10,65,73,.471,3.76,4.17,143,143,142,1,11,36,1265.2,1141,586,529,135,409,19,1046,40,1,46,5287,1.225,8.1,1.0,2.9,7.4,2.56
0,2019,Chiba Lo,4.27,69,70,.496,3.90,4.29,143,143,139,4,9,29,1280.2,1245,611,555,143,485,21,1110,50,2,32,5490,1.351,8.7,1.0,3.4,7.8,2.29
0,2019,Orix Buf,4.45,61,75,.449,4.05,4.47,143,143,138,5,8,38,1283.2,1233,637,578,137,486,28,1092,43,1,39,5490,1.339,8.6,1.0,3.4,7.7,2.25
0,2019,Saitama ,4.86,80,62,.563,4.35,4.88,143,143,140,3,8,35,1281.2,1313,695,620,143,509,10,875,93,5,56,5623,1.422,9.2,1.0,3.6,6.1,1.72
0,2018,Orix Buf,3.95,65,73,.471,3.69,3.93,143,143,141,2,9,37,1292.2,1211,565,530,127,410,27,1029,45,2,27,5429,1.254,8.4,0.9,2.9,7.2,2.51
0,2018,Fukuoka ,4.05,82,60,.577,3.90,4.08,143,143,137,6,19,44,1277.2,1132,579,553,163,539,11,1087,63,2,29,5423,1.308,8.0,1.1,3.8,7.7,2.02
0,2018,Tohoku R,4.08,58,82,.414,3.78,4.07,143,143,133,10,10,26,1289.1,1201,583,541,143,493,36,1115,51,1,50,5482,1.314,8.4,1.0,3.4,7.8,2.26
0,2018,Hokkaido,4.10,74,66,.529,3.77,4.13,143,143,134,9,9,43,1275.2,1242,586,535,121,372,22,987,63,1,37,5405,1.265,8.8,0.9,2.6,7.0,2.65
0,2018,Chiba Lo,4.39,59,81,.421,4.04,4.43,143,143,135,8,7,30,1276.2,1289,628,573,129,453,28,908,30,2,33,5454,1.364,9.1,0.9,3.2,6.4,2.00
0,2018,Saitama ,4.57,88,53,.624,4.24,4.60,143,143,136,7,9,33,1277.1,1230,653,602,148,506,5,959,84,1,44,5515,1.359,8.7,1.0,3.6,6.8,1.90
0,2017,Fukuoka ,3.38,94,49,.657,3.22,3.41,143,143,139,4,21,58,1276.1,1062,483,457,134,451,1,1203,52,2,34,5284,1.185,7.5,0.9,3.2,8.5,2.67
0,2017,Tohoku R,3.69,77,63,.550,3.33,3.71,143,143,130,13,13,41,1280.2,1140,528,474,115,407,6,1144,49,8,46,5341,1.208,8.0,0.8,2.9,8.0,2.81
