,Yr,Team,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
0,2020,Tohoku R,4.57,107,4108,3549,489,913,168,20,105,470,61,25,422,820,.257,.341,.405,.746,1436,80,43,68,26,9
0,2020,Fukuoka ,4.47,108,4052,3549,483,888,148,25,116,459,90,30,364,781,.250,.323,.404,.727,1434,45,33,74,32,13
0,2020,Hokkaido,4.13,107,4066,3529,442,883,136,16,82,424,69,21,405,785,.250,.330,.368,.698,1297,76,29,75,28,6
0,2020,Saitama ,4.01,105,3897,3429,421,818,148,22,97,402,70,35,356,848,.239,.315,.379,.694,1301,60,38,50,24,10
0,2020,Chiba Lo,3.89,106,3997,3397,412,807,153,9,82,391,78,30,444,821,.238,.334,.360,.694,1224,73,57,81,18,13
0,2020,Orix Buf,3.78,107,4006,3526,404,881,152,17,81,386,82,32,332,715,.250,.321,.372,.692,1310,82,45,84,19,17
0,2019,Saitama ,5.29,143,5619,4898,756,1299,229,23,174,718,134,49,556,1083,.265,.344,.428,.772,2096,88,49,78,38,23
0,2019,Chiba Lo,4.49,143,5502,4789,642,1194,214,21,158,613,75,35,505,1013,.249,.330,.402,.732,1924,99,87,92,29,12
0,2019,Tohoku R,4.29,143,5506,4766,614,1196,195,22,141,589,48,38,539,1127,.251,.333,.390,.723,1858,114,68,98,35,19
0,2019,Fukuoka ,4.07,143,5345,4775,582,1199,172,19,183,559,113,49,397,1084,.251,.312,.410,.723,1958,85,43,100,30,21
0,2019,Hokkaido,3.92,143,5428,4778,560,1200,211,28,93,532,48,25,496,1044,.251,.325,.365,.690,1746,106,43,78,33,18
0,2019,Orix Buf,3.80,143,5391,4774,544,1153,181,22,102,516,122,59,417,1030,.242,.309,.353,.662,1684,85,66,101,33,17
0,2018,Saitama ,5.54,143,5638,4941,792,1351,244,29,196,761,132,48,566,1103,.273,.352,.454,.805,2241,79,50,48,33,14
0,2018,Fukuoka ,4.79,143,5445,4855,685,1290,217,39,202,667,80,30,408,999,.266,.326,.451,.777,2191,85,44,102,36,26
0,2018,Hokkaido,4.12,143,5450,4759,589,1195,204,25,140,566,98,24,512,1101,.251,.329,.393,.722,1869,109,58,86,35,18
0,2018,Orix Buf,3.76,143,5373,4766,538,1162,204,25,108,513,97,39,396,1003,.244,.308,.365,.673,1740,98,59,118,34,24
0,2018,Chiba Lo,3.73,143,5411,4700,534,1159,207,35,78,510,124,57,474,888,.247,.324,.355,.679,1670,93,86,108,43,12
0,2018,Tohoku R,3.64,143,5393,4824,520,1163,166,25,132,500,69,39,428,1074,.241,.307,.368,.675,1775,109,42,76,23,23
0,2017,Saitama ,4.83,143,5445,4792,690,1264,236,28,153,660,129,40,457,1029,.264,.332,.420,.753,2015,95,58,93,45,4
0,2017,Fukuoka ,4.46,143,5382,4671,638,1208,202,32,164,613,73,47,488,1019,.259,.331,.421,.752,1966,78,36,156,31,16
0,2017,Tohoku R,4.09,143,5452,4812,585,1221,214,18,135,553,42,27,473,1018,.254,.324,.390,.714,1876,107,40,105,22,10
0,2017,Orix Buf,3.77,143,5411,4770,539,1197,190,23,127,519,33,23,409,1032,.251,.316,.380,.696,1814,105,57,149,26,6
0,2017,Hokkaido,3.56,143,5385,4749,509,1147,189,18,108,482,86,27,468,1122,.242,.313,.357,.670,1696,95,37,103,28,2
0,2017,Chiba Lo,3.35,143,5286,4718,479,1098,215,29,95,455,78,24,387,1099,.233,.297,.351,.648,1656,85,57,98,26,8
0,2016,Fukuoka ,4.45,143,5526,4744,637,1240,188,30,114,609,107,43,537,956,.261,.341,.386,.727,1830,110,57,148,40,14
0,2016,Hokkaido,4.33,143,5550,4795,619,1277,179,13,121,585,132,39,496,1076,.266,.340,.385,.725,1845,79,53,178,28,10
0,2016,Saitama ,4.33,143,5536,4881,619,1287,219,19,128,591,97,37,493,1071,.264,.335,.395,.730,1928,97,46,80,36,7
0,2016,Chiba Lo,4.08,143,5483,4810,583,1230,216,30,80,559,77,29,461,964,.256,.326,.363,.689,1746,102,58,120,34,14
0,2016,Tohoku R,3.80,143,5441,4806,544,1234,170,32,101,518,56,37,439,952,.257,.324,.368,.692,1771,112,48,122,26,10
0,2016,Orix Buf,3.49,143,5382,4747,499,1199,208,12,84,475,104,50,399,910,.253,.317,.355,.671,1683,93,57,154,25,12
0,2015,Fukuoka ,4.55,143,5559,4852,651,1294,217,22,141,619,94,48,507,950,.267,.340,.408,.747,1978,110,51,109,40,14
0,2015,Saitama ,4.41,143,5496,4818,631,1265,243,21,136,602,66,44,480,1194,.263,.335,.406,.742,1958,84,64,104,30,11
0,2015,Hokkaido,4.30,143,5469,4802,615,1238,205,27,106,578,134,38,487,1031,.258,.330,.378,.708,1815,90,46,104,30,10
